2019-05-29 01:51:54.623606:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 01:52:13.882795:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 02:08:58.918951:  Not all parameters were used in the SQL statement
2019-05-29 02:09:46.508406:  Not all parameters were used in the SQL statement
2019-05-29 02:11:12.575584:  1146 (42S02): Table 'websim.combo' doesn't exist
2019-05-29 02:11:32.396884:  1265 (01000): Data truncated for column 'created_at' at row 1
2019-05-29 02:12:59.765920:  1406 (22001): Data too long for column 'settings' at row 1
2019-05-29 02:13:34.508953:  1406 (22001): Data too long for column 'grade' at row 1
2019-05-29 02:14:16.190934:  1406 (22001): Data too long for column 'submitted' at row 1
2019-06-02 22:49:41.401995: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:41.914525: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:42.563035: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:42.606729: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:42.754171: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:43.637463: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:43.648776: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:43.970212: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:44.145416: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:46.826979: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:47.040173: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:47.554903: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:48.229006: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:48.391187: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:48.527747: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:49.279549: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:49.286749: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:49.632361: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:49.765834: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:52.682740: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:53.197178: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:54.047220: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:54.168063: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:54.258105: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:54.905518: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:54.938622: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:55.316222: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:55.399589: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:58.306670: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:58.851897: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:59.700363: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:59.785226: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:59.885133: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:00.597615: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:00.609161: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:00.951246: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:01.036099: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:04.104146: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:04.458787: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:05.356319: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:05.405833: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:05.523556: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:06.243728: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:06.244037: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:06.642456: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:06.775413: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:09.747603: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:10.047433: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:11.020268: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:11.032385: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:11.171594: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:11.556573: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:11.909025: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:12.366178: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:12.436561: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:14.488443: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:15.711511: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:16.696909: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:16.816682: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:17.411301: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:17.411448: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:17.607028: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:18.069465: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:18.074988: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:21.401115: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:22.257830: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:22.370732: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:22.452711: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:23.071855: LOG    :  Python type Session cannot be converted
